State	County	UFO Sightings	Median Household Income (USD)	Percent In Poverty	Population
TX	Bell	131	49,338	13.2	310235
TX	Floyd	3	33,345	21	6446
TX	Reagan	1	48,667	11.7	3367
TX	Leon	29	40,847	14.4	16801
TX	Kaufman	32	56,899	11.9	103350
TX	Bandera	9	46,678	16.5	20485
TX	Crosby	0	33,332	27.1	6059
TX	Harrison	9	44,506	17.3	65631
TX	Brazoria	123	64,242	12.1	313166
TX	Cottle	0	31,892	20.4	1505
TX	Hardeman	1	33,640	22.9	4139
TX	San Patricio	10	44,307	21.1	64804
TX	Hood	11	52,633	11.9	51182
TX	Denton	620	68,671	8.1	662614
TX	Rockwall	19	81,113	6.4	78337
TX	Ellis	88	57,929	11.5	149610
TX	Sutton	1	51,386	13.4	4128
TX	Galveston	272	57,124	13	291309
TX	Lubbock	191	41,757	20.8	278831
TX	Edwards	1	32,643	25.3	2002
TX	Calhoun	0	42,745	19.4	21381
TX	Swisher	0	33,786	20.9	7854
TX	Lipscomb	0	46,347	13.3	3302
TX	Karnes	0	34,970	26.3	14824
TX	Wood	35	40,149	18.3	41964
TX	Donley	0	34,967	17	3677
TX	Roberts	1	58,372	6.9	929
TX	Coleman	13	30,637	21.1	8895
TX	Glasscock	0	54,354	11.2	1226
TX	Moore	0	44,680	15	21904
TX	Loving	0	50,188	14.5	82
TX	Real	6	31,490	24.1	3309
TX	Williamson	580	66,152	7.9	422679
TX	Runnels	13	32,628	23.1	10501
TX	Borden	92	47,938	11.9	641
TX	Coke	0	35,754	13.2	3320
TX	Brazos	202	37,468	30.8	194851
TX	Falls	2	30,576	25.3	17866
TX	Cochran	0	35,496	20.5	3127
TX	Nolan	0	33,981	20.1	15216
TX	Hale	4	35,640	20.3	36273
TX	Andrews	3	51,339	13.5	14786
TX	Wheeler	1	41,228	13.6	5410
TX	Knox	0	31,054	22.3	3719
TX	Titus	24	37,818	20.7	32334
TX	Jones	7	35,193	24.3	20202
TX	Lynn	1	36,145	19.7	5915
TX	Wise	23	52,117	12.5	59127
TX	Hansford	0	43,338	14.3	5613
TX	Fort Bend	22	76,758	9	585375
TX	Hays	114	57,051	14.4	157107
TX	Hunt	7	41,841	20	86129
TX	Wichita	140	39,299	17.1	131500
TX	Willacy	1	28,307	36.9	22134
TX	Castro	0	35,973	20.2	8062
TX	Grayson	51	44,356	14.9	120877
TX	Morris	0	34,451	19.2	12934
TX	Cass	6	34,556	20.4	30464
TX	Martin	0	44,863	16.2	4799
TX	Yoakum	1	48,953	14.8	7879
TX	Rains	6	40,966	16.7	10914
TX	Kleberg	15	37,418	24.6	32061
TX	Mitchell	3	34,877	23.3	9403
TX	Wilbarger	1	38,913	17.1	13535
TX	Grimes	3	39,959	19.7	26604
TX	Comanche	39	34,878	20.7	13974
TX	Houston	28	33,198	23.7	23732
TX	Limestone	32	37,438	19	23384
TX	Val Verde	16	36,647	26.8	48879
TX	Presidio	7	30,357	23.6	7818
TX	Motley	0	35,672	16.7	1210
TX	Atascosa	2	42,439	20.4	44911
TX	Fannin	12	40,891	16.2	33915
TX	Foard	0	31,479	18.2	1336
TX	Kimble	10	36,126	18.6	4607
TX	Haskell	3	30,845	25.5	5899
TX	Bastrop	41	49,812	15.5	74171
TX	Callahan	302	40,614	15.4	13544
TX	Parmer	0	38,619	14.9	10269
TX	Gray	3	42,701	15.4	22535
LA	Orleans	326	36,525	27.1	343829
LA	Red River	0	32,711	23.3	9091
LA	Jackson	4	36,312	19.4	16274
LA	Richland	1	32,646	25.4	20725
LA	Grant	1	38,225	19.3	22309
LA	St. Bernard	5	38,700	17.8	35897
LA	Plaquemines	5	49,781	15.1	23042
LA	Tangipahoa	19	37,454	21.7	121097
LA	Louisiana	0	42,510	18.8	4533372
LA	Jefferson	55	46,500	16.2	432552
LA	St. John the Baptist	3	45,987	18.6	45924
LA	Jefferson Davis	10	39,246	20.2	31594
LA	St. Mary	13	40,193	20.6	54650
LA	Webster	9	35,861	22.6	41207
LA	West Carroll	0	32,143	22.6	11604
LA	La Salle	1	41,563	14.7	14890
LA	De Soto	1	37,379	21.2	26656
LA	Terrebonne	3	47,847	18.3	111860
LA	Ouachita	39	37,728	20.6	153720
LA	Allen	1	35,711	20.4	25764
LA	East Feliciana	3	42,347	18.6	20267
LA	Tensas	0	26,976	33.3	5252
LA	St. James	1	45,829	16.3	22102
LA	St. Tammany	153	59,389	9.2	233740
LA	West Feliciana	0	48,917	20.9	15625
LA	Caldwell	3	34,855	21.6	10132
LA	Vernon	0	43,752	13.5	52334
LA	Acadia	15	36,814	21	61773
LA	Iberville	1	40,140	22.7	33387
